Symbol,Company Name,Industry,Series,ISIN Code
360ONE,360 ONE WAM Ltd.,Financial Services,EQ,INE466L01038
ABB,ABB India Ltd.,Capital Goods,EQ,INE117A01022
ACC,ACC Ltd.,Construction Materials,EQ,INE012A01025
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,EQ,INE702C01027
AUBANK,AU Small Finance Bank Ltd.,Financial Services,EQ,INE949L01017
ADANIENSOL,Adani Energy Solutions Ltd.,Power,EQ,INE931S01010
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,EQ,INE423A01024
ADANIGREEN,Adani Green Energy Ltd.,Power,EQ,INE364U01010
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,EQ,INE742F01042
ADANIPOWER,Adani Power Ltd.,Power,EQ,INE814H01029
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,EQ,INE399L01023
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,EQ,INE674K01013
ALKEM,Alkem Laboratories Ltd.,Healthcare,EQ,INE540L01014
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,EQ,INE079A01024
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,EQ,INE437A01024
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods,EQ,INE208A01029
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,EQ,INE021A01026
ASTRAL,Astral Ltd.,Capital Goods,EQ,INE006I01046
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,EQ,INE406A01037
DMART,Avenue Supermarts Ltd.,Consumer Services,EQ,INE192R01011
AXISBANK,Axis Bank Ltd.,Financial Services,EQ,INE238A01034
BSE,BSE Ltd.,Financial Services,EQ,INE118H01025
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,EQ,INE917I01010
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,EQ,INE296A01032
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,EQ,INE918I01026
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,EQ,INE118A01012
BAJAJHFL,Bajaj Housing Finance Ltd.,Financial Services,EQ,INE377Y01014
BANKBARODA,Bank of Baroda,Financial Services,EQ,INE028A01039
BANKINDIA,Bank of India,Financial Services,EQ,INE084A01016
BDL,Bharat Dynamics Ltd.,Capital Goods,EQ,INE171Z01026
BEL,Bharat Electronics Ltd.,Capital Goods,EQ,INE263A01024
BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components,EQ,INE465A01025
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,EQ,INE257A01026
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,EQ,INE029A01011
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,EQ,INE397D01024
BHARTIHEXA,Bharti Hexacom Ltd.,Telecommunication,EQ,INE343G01021
BIOCON,Biocon Ltd.,Healthcare,EQ,INE376G01013
BLUESTARCO,Blue Star Ltd.,Consumer Durables,EQ,INE472A01039
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,EQ,INE323A01026
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,EQ,INE216A01030
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,EQ,INE067A01029
CANBK,Canara Bank,Financial Services,EQ,INE476A01022
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services,EQ,INE121A01024
CIPLA,Cipla Ltd.,Healthcare,EQ,INE059A01026
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,EQ,INE522F01014
COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods,EQ,INE704P01025
